months_as_customer,age,policy_deductable,umbrella_limit,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
165,37,1000,0,MALE,Associate,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,?,2,2,YES,51590,N
117,28,500,0,FEMALE,Associate,transport-moving,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,0,1,?,55440,Y
43,43,500,0,FEMALE,Associate,armed-forces,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,16,1,?,2,1,?,79970,Y
412,56,500,0,MALE,High School,handlers-cleaners,Multi-vehicle Collision,Front Collision,Total Loss,Police,19,3,NO,0,2,NO,68040,N
107,26,2000,0,MALE,MD,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,2,3,NO,78650,Y
108,29,1000,0,FEMALE,PhD,armed-forces,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,61380,N
123,31,500,0,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,?,1,2,NO,72120,N
246,44,1000,0,MALE,High School,machine-op-inspct,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,0,NO,61740,N
26,39,1000,0,MALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Police,0,1,NO,0,2,?,49800,N
380,53,2000,6000000,MALE,Associate,priv-house-serv,Parked Car,?,Trivial Damage,Police,23,1,NO,0,3,NO,5700,N
421,57,2000,0,FEMALE,Associate,armed-forces,Multi-vehicle Collision,Front Collision,Minor Damage,Police,22,3,YES,0,0,NO,78500,N
86,28,2000,0,MALE,PhD,transport-moving,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,YES,0,2,YES,70920,N
98,26,2000,0,MALE,JD,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,Police,13,2,?,0,1,YES,65430,N
322,44,1000,0,FEMALE,College,machine-op-inspct,Multi-vehicle Collision,Side Collision,Major Damage,Fire,20,3,YES,0,3,?,49400,N
405,57,1000,4000000,MALE,MD,priv-house-serv,Multi-vehicle Collision,Front Collision,Total Loss,Other,21,3,?,2,3,?,61440,N
310,48,500,0,FEMALE,JD,adm-clerical,Multi-vehicle Collision,Rear Collision,Major Damage,Police,11,4,YES,0,2,NO,59400,Y
199,38,1000,0,FEMALE,High School,tech-support,Single Vehicle Collision,Front Collision,Major Damage,Police,6,1,?,0,2,NO,44440,Y
436,60,500,0,MALE,High School,prof-specialty,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,16,1,NO,0,2,NO,82060,N
126,33,1000,2000000,FEMALE,JD,priv-house-serv,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,21,1,YES,1,2,?,54160,N
211,35,500,0,FEMALE,JD,prof-specialty,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,1,1,?,42000,N
411,56,1000,0,FEMALE,College,protective-serv,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,23,3,?,0,0,?,38610,N
27,28,1000,0,MALE,MD,protective-serv,Parked Car,?,Trivial Damage,Police,4,1,?,2,0,?,3200,N
472,64,500,0,MALE,Masters,other-service,Single Vehicle Collision,Front Collision,Major Damage,Fire,13,1,NO,2,3,NO,70900,N
112,27,500,0,FEMALE,Masters,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,?,0,1,?,51000,N
473,58,2000,0,FEMALE,MD,transport-moving,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,YES,0,0,NO,63120,Y
285,43,2000,0,FEMALE,College,sales,Vehicle Theft,?,Minor Damage,Police,7,1,?,1,1,?,2520,N
131,33,2000,0,MALE,MD,sales,Parked Car,?,Minor Damage,Police,3,1,?,0,1,NO,4900,N
239,38,1000,5000000,FEMALE,Masters,handlers-cleaners,Multi-vehicle Collision,Front Collision,Major Damage,Police,12,3,NO,1,3,?,61920,N
219,43,1000,0,FEMALE,High School,transport-moving,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,1,1,?,2,2,YES,66660,N
109,29,2000,6000000,FEMALE,High School,adm-clerical,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,3,NO,1,3,YES,91080,N
16,32,1000,0,MALE,MD,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,0,3,?,0,2,?,59400,Y
209,39,500,0,MALE,PhD,transport-moving,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,?,1,1,NO,37800,N
81,25,500,5000000,FEMALE,High School,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,?,1,0,?,73920,Y
234,44,500,0,MALE,Associate,other-service,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,3,1,NO,1,0,NO,70200,Y
134,32,500,0,FEMALE,MD,other-service,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,?,2,1,YES,64240,N
85,27,2000,0,MALE,College,priv-house-serv,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,14,4,YES,0,0,NO,59070,N
151,37,1000,0,FEMALE,Masters,farming-fishing,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,1,1,?,38830,N
475,57,500,0,MALE,Masters,adm-clerical,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,1,?,0,2,NO,78000,N
